token_spacy,lemma,pos
Agrippine,Agrippine,PROPN
têtedu,têtedu,PROPN
pierre,pierre,NOUN
quatre,quatre,NUM
Cariatides,Cariatides,PROPN
colosses,colosse,NOUN
HéraSanis,HéraSanis,PROPN
HéraKiôn,HéraKiôn,PROPN
HermèsMoscophore,HermèsMoscophore,X
Dioscures,Dioscures,PROPN
Athénas,Athénas,PROPN
Apollons,Apollons,PROPN
Tyndarides,Tyndarides,PROPN
pugilistes,pugiliste,NOUN
sa,son,DET
tyrannicides,tyrannicide,NOUN
Gemme,Gemme,PROPN
Turquoise,Turquoise,PROPN
Obsidienne,Obsidienne,PROPN
Prétendue,prétendre,ADJ
Ovide,Ovide,PROPN
camées,camé,NOUN
Prétendu,prétendre,ADJ
Libation,Libation,PROPN
Héliotrope,Héliotrope,PROPN
Sirius,Sirius,PROPN
Gemma,Gemma,PROPN
Nymphes,nymphe,NOUN
Malachite,Malachite,PROPN
petit,petit,ADJ
Thème,thème,NOUN
Louterion,Louterion,PROPN
Dinos,Dinos,PROPN
Artemis,Artemis,PROPN
Frise,Frise,PROPN
Centauromachie,Centauromachie,PROPN
Lampe,Lampe,PROPN
Iris,Iris,PROPN
l',le,DET
escadron,escadron,NOUN
pâte,pât,ADJ
Platon,Platon,PROPN
Aphrodite_du_Capitole,Aphrodite_du_Capitole,PROPN
Apollon_de_Cleveland,Apollon_de_Cleveland,PROPN
Apollo_Sauroktonos,Apollo_Sauroktonos,PROPN
Éros_de_Centocelle,Éros_de_Centocelle,PROPN
Génie,Génie,PROPN
title,title,X
sauroctone,sauroctone,NOUN
Apollo_sauroctonus,Apollo_sauroctonus,PROPN
amazone,amazone,NOUN
l',le,DET
Apollon,Apollon,PROPN
Hermes,Hermes,PROPN
Pro,Pro,PROPN
Hécate,Hécate,PROPN
J,j,NOUN
à,à,ADP
sculpteur,sculpteur,NOUN
Heures,heure,NOUN
Grâces,Grâces,PROPN
statuede,statuede,NOUN
centaures,centaure,NOUN
Antinoüs_du_Capitole,Antinoüs_du_Capitole,PROPN
Aphrodítê,Aphrodítê,PROPN
l',le,DET
Hercule,Hercule,PROPN
huit,huit,NUM
jeune,jeune,ADJ
chien,chien,NOUN
boeuf,boeuf,NOUN
énus,énus,VERB
ype,ype,NOUN
satyre,satyre,NOUN
reproduction,reproduction,NOUN
les,le,DET
le,le,DET
du,de,ADP
Ἀφροδίτη,Ἀφροδίτη,PROPN
dite,dire,VERB
cette,ce,DET
casque,casque,NOUN
anciens,ancien,ADJ
Praxitèle,Praxitèle,PROPN
La,le,DET
Kalagousa,Kalagousa,PROPN
Germinacus,Germinacus,PROPN
Arlésienne,arlésien,ADJ
anneau,anneau,NOUN
sardoine,sardoine,PROPN
lécythe,lécythe,NOUN
Caryatides,Caryatides,PROPN
Acrotère,Acrotère,PROPN
tyrannoctones,tyrannoctone,NOUN
massacre,massacre,NOUN
Sosandra,Sosandra,PROPN
OEdipe,OEdipe,PROPN
Intérieur,intérieur,NOUN
Hypnos,Hypnos,PROPN
Grecs,Grecs,PROPN
Danse,danse,NOUN
tablettes,tablette,NOUN
Ajax,Ajax,PROPN
tablette,tablette,NOUN
plaques,plaque,NOUN
lamentation,lamentation,NOUN
Potier,potier,NOUN
Poséidon,Poséidon,PROPN
Ouvriers,ouvrier,NOUN
Exposition,exposition,NOUN
Vases,vase,NOUN
Vé,Vé,PROPN
Agamemnon,Agamemnon,PROPN
Aventures,Aventures,PROPN
VA,VA,X
SKYPHOS,skypho,NOUN
char,char,NOUN
canthare,canthare,NOUN
canon,canon,NOUN
alabastron,alabastron,ADV
acrotère,acrotère,PROPN
Yomphalos,Yomphalos,PROPN
Tuile,Tuile,PROPN
Scènes,Scènes,PROPN
Saciifice,Saciifice,PROPN
Rekhmara,Rekhmara,PROPN
Borée,borée,NOUN
Péliké,Péliké,PROPN
Polyphème,polyphèm,ADJ
Phrixos,Phrixos,X
Peinture,Peinture,X
Oreste,Oreste,PROPN
Mertési,Mertési,PROPN
Medella,Medella,PROPN
Départ,départ,NOUN
Charon,Charon,PROPN
Victoires,victoire,NOUN
VAplirodilede,VAplirodilede,PROPN
sardonyx,sardonyx,ADV
Junon,Junon,PROPN
Médée,Médée,PROPN
trésor,trésor,ADJ
médaillons,médaillon,NOUN
chef,chef,NOUN
dieu,dieu,NOUN
xJaspe,xjaspe,NOUN
magnifique,magnifique,ADJ
lapis,lapis,PROPN
célèbre,célèbre,ADJ
Herméracle,Herméracle,PROPN
Sacrifice,Sacrifice,PROPN
Chrysolithe,Chrysolithe,PROPN
Aigue,Aigue,PROPN
xHyacinlhe,xhyacinlh,ADJ
xAméthyste,xaméthyst,ADJ
ouvrage,ouvrage,NOUN
grand,grand,ADJ
Thétis,Thétis,PROPN
Cachet,Cachet,PROPN
Bacchante,bacchant,ADJ
Niobé,Niobé,PROPN
A,a,NOUN
Tficsce,Tficsce,PROPN
Kjipns,Kjipns,PROPN
Rypris,Rypris,PROPN
PORTRAITS,PORTRAITS,PROPN
Ligne,Ligne,PROPN
LIGNE,LIGNE,PROPN
Kyprisde,Kyprisde,PROPN
Kypiis,Kypiis,PROPN
Kyjms,Kyjms,PROPN
Kyims,Kyims,PROPN
Ky,Ky,PROPN
Khn,Khn,PROPN
Alexan,Alexan,PROPN
Image,image,NOUN
Grâce,grâce,NOUN
Fortune,fortune,NOUN
Diana,Diana,PROPN
Chien,chien,NOUN
Aplu,Aplu,PROPN
Apliro,Apliro,PROPN
Aphro,Aphro,PROPN
Apfu',Apfu',X
odite,odite,NOUN
sarcophages,sarcophage,NOUN
Hercule,Hercule,PROPN
Amour,Amour,PROPN
Vénus,Vénus,PROPN
combat,combat,NOUN
Bacchus,Bacchus,PROPN
Apollon,Apollon,PROPN
scènes,scène,NOUN
Satyre,Satyre,PROPN
Victoire,Victoire,PROPN
Jupiter,Jupiter,PROPN
Aphrodite,Aphrodite,PROPN
Achille,Achille,PROPN
scène,scène,NOUN
Alexandre,Alexandre,PROPN
Combat,Combat,PROPN
Minerve,Minerve,PROPN
Mercure,Mercure,PROPN
Guerrier,Guerrier,PROPN
Thésée,Thésée,PROPN
Silène,Silène,PROPN
Scène,scène,NOUN
Sacrifice,Sacrifice,PROPN
Bacchante,Bacchante,PROPN
Hermès,Hermès,PROPN
Ulysse,Ulysse,PROPN
enlèvement,enlèvement,NOUN
Héraclès,Héraclès,PROPN
Ajax,Ajax,PROPN
Mars,mars,NOUN
Pan,Pan,PROPN
bataille,bataille,NOUN
Diomède,Diomède,PROPN
Auguste,Auguste,PROPN
Amours,Amours,PROPN
Athéna,Athéna,PROPN
naissance,naissance,NOUN
Psyché,Psyché,PROPN
Héraklès,Héraklès,PROPN
départ,départ,NOUN
jeune,jeune,ADJ
chasse,chasse,NOUN
Faune,faune,NOUN
éphèbe,éphèbe,NOUN
légende,légende,X
Dionysos,Dionysos,PROPN
Hélène,Hélène,PROPN
Néréide,Néréide,PROPN
Zeus,Zeus,PROPN
Génie,Génie,PROPN
guerrier,guerrier,NOUN
combats,combat,NOUN
dieu,dieu,NOUN
femme,femme,NOUN
Jugement,jugement,NOUN
Diane,Diane,PROPN
Trois,Trois,NUM
sujets,sujet,NOUN
Ganymède,ganymède,NOUN
lutte,lutte,NOUN
Tête,Tête,PROPN
Deux,Deux,NUM
deux,deux,NUM
Prométhée,Prométhée,PROPN
Héra,Héra,PROPN
Divinité,Divinité,PROPN
Néoptolème,Néoptolème,PROPN
Cavalier,Cavalier,PROPN
Masque,masque,NOUN
Héros,héros,NOUN
jugement,jugement,NOUN
exploits,exploit,NOUN
apothéose,apothéose,NOUN
Persée,perser,VERB
Triomphe,triomphe,NOUN
Gaulois,Gaulois,PROPN
satyre,satyre,NOUN
Grecs,Grecs,PROPN
char,char,NOUN
Amazone,Amazone,PROPN
Oreste,oreste,VERB
HERCULE,HERCULE,PROPN
dispute,dispute,VERB
Europe,Europe,PROPN
mort,mort,NOUN
Hector,Hector,X
course,course,NOUN
Hébé,Hébé,PROPN
Dédale,dédale,NOUN
Éros,éros,NOUN
Enfant,Enfant,PROPN
Vulcain,vulcain,NOUN
Artémis,Artémis,PROPN
sacrifice,sacrifice,NOUN
Castor,Castor,PROPN
Isis,Isis,PROPN
jeunes,jeune,ADJ
Déesse,Déesse,PROPN
Taureau,Taureau,PROPN
retour,retour,NOUN
prêtre,prêtre,NOUN
joueur,joueur,NOUN
Antinoüs,Antinoüs,PROPN
Télémaque,Télémaque,PROPN
Enlèvement,enlèvement,NOUN
trois,trois,NUM
déesse,déesse,NOUN
Ménélas,Ménélas,PROPN
BACCHUS,BACCHUS,PROPN
portrait,portrait,NOUN
Naissance,Naissance,PROPN
Cybèle,Cybèle,PROPN
OEdipe,OEdipe,PROPN
Chiron,Chiron,PROPN
Fortune,fortune,NOUN
procession,procession,NOUN
Esculape,Esculape,PROPN
Centaure,centaure,VERB
lion,lion,NOUN
épisode,épisode,NOUN
Kouroi,Kouroi,PROPN
massacre,massacre,NOUN
Ariane,Ariane,PROPN
portraits,portrait,NOUN
Neptune,neptune,NOUN
Aigle,Aigle,PROPN
Bacchanale,bacchanal,ADJ
Claude,Claude,PROPN
toilette,toilette,NOUN
ménade,ménade,PROPN
Léda,Léda,PROPN
Cupidon,Cupidon,PROPN
amazone,amazone,NOUN
Saturne,Saturne,PROPN
Course,course,NOUN
divinités,divinité,NOUN
frises,frise,NOUN
Mort,mort,NOUN
cortège,cortège,NOUN
Apothéose,Apothéose,PROPN
Vainqueur,vainqueur,NOUN
athlète,athlèt,ADJ
Procession,procession,NOUN
Mythes,Mythes,PROPN
Muse,Muse,PROPN
Joueur,joueur,NOUN
Aurore,Aurore,PROPN
famille,famille,NOUN
Commode,Commode,PROPN
Cassandre,Cassandre,PROPN
Athlète,athlèt,ADJ
VÉNUS,VÉNUS,PROPN
enfant,enfant,NOUN
Triton,Triton,PROPN
Livie,Livie,PROPN
Cérès,Cérès,PROPN
héros,héros,NOUN
Enfants,enfant,NOUN
Memnon,Memnon,PROPN
Lutte,Lutte,PROPN
Soldat,soldat,NOUN
Julien,Julien,PROPN
Retour,retour,NOUN
Danse,danse,NOUN
Départ,départ,NOUN
épisodes,épisode,NOUN
Hypnos,hypno,NOUN
Tragédie,tragédie,NOUN
HÉRACLÈS,HÉRACLÈS,PROPN
Exposition,exposition,NOUN
Dispute,Dispute,PROPN
prise,prise,NOUN
Heraklès,Heraklès,PROPN
Déméter,déméter,VERB
travaux,travail,NOUN
chef,chef,NOUN
Sérapis,Sérapis,PROPN
petit,petit,ADJ
tête,tête,NOUN
Amazones,Amazones,PROPN
Prétendue,prétendre,ADJ
Triptolème,triptolèm,ADJ
Ptolémée,Ptolémée,PROPN
mythe,mythe,NOUN
Réunion,Réunion,PROPN
Poséidon,Poséidon,PROPN
rapt,rapt,NOUN
reine,reine,NOUN
Deucalion,Deucalion,PROPN
lamentation,lamentation,NOUN
Séléné,Séléné,PROPN
institution,institution,NOUN
ACTEURS,acteur,VERB
TREIZE,TREIZE,PROPN
suicide,suicide,NOUN
Caducée,Caducée,PROPN
Caius,Caius,PROPN
Potier,Potier,PROPN
Atalante,atalant,ADJ
Coqs,coq,NOUN
Érection,érection,NOUN
Thétis,Thétis,PROPN
DÉPART,DÉPART,PROPN
Famille,Famille,PROPN
Philoctète,Philoctète,PROPN
dieux,dieu,NOUN
Kouros,kouros,NOUN
aventures,aventure,NOUN
Thanatos,Thanatos,PROPN
Polyphème,polyphèm,ADJ
femmes,femme,NOUN
Andromaque,Andromaque,PROPN
légendes,légende,NOUN
mythes,mythe,DET
Phrixos,Phrixos,X
Paris,Paris,PROPN
Niké,Niké,PROPN
Fête,Fête,PROPN
Endymion,Endymion,PROPN
Hermaphrodite,Hermaphrodite,PROPN
Athéniennes,Athéniennes,PROPN
danse,danse,NOUN
Masques,masque,NOUN
Αntinοϋs,Αntinοϋs,PROPN
Cérémonies,cérémonie,NOUN
Griffon,Griffon,PROPN
Ouvrier,Ouvrier,PROPN
vieille,vieux,ADJ
Nymphes,nymphe,NOUN
libation,libation,NOUN
Périclès,Périclès,PROPN
CARICATURE,CARICATURE,PROPN
Compagnons,Compagnons,PROPN
Atlas,Atlas,PROPN
personnification,personnification,NOUN
jeux,jeu,NOUN
triomphe,triomphe,NOUN
DIANE,DIANE,PROPN
chevaux,cheval,NOUN
batailles,bataille,NOUN
Cerf,Cerf,PROPN
Terme,terme,NOUN
CÉRÉMONIES,CÉRÉMONIES,PROPN
Satyres,Satyres,PROPN
Faustine,Faustine,PROPN
empereur,empereur,NOUN
Méduse,Méduse,PROPN
Nymphe,Nymphe,PROPN
A,a,NOUN
ORESTE,ORESTE,PROPN
noces,noce,NOUN
NÉRÉIDE,NÉRÉIDE,PROPN
Animaux,animal,NOUN
Hélios,Hélios,PROPN
NOCES,NOCES,PROPN
roi,roi,NOUN
Pluton,Pluton,PROPN
ARIANE,ariane,NOUN
Quadrige,Quadrige,PROPN
Romulus,Romulus,PROPN
ACHILLE,ACHILLE,PROPN
Sphinx,Sphinx,PROPN
Jeunes,Jeunes,PROPN
Chien,chien,NOUN
Bataille,Bataille,PROPN
Barque,Barque,PROPN
Antinous,Antinous,PROPN
Bellérophon,Bellérophon,PROPN
Agamemnon,Agamemnon,PROPN
festin,festin,NOUN
Pompe,pompe,NOUN
dauphin,dauphin,NOUN
Marsyas,Marsyas,PROPN
Harmodios,harmodio,NOUN
éphèbes,éphèbe,PROPN
préparatifs,préparatif,ADJ
Jason,Jason,PROPN
Antigone,Antigone,PROPN
armement,armement,NOUN
Le,le,DET
Centaures,centaure,NOUN
Lycurgue,Lycurgue,PROPN
homme,homme,NOUN
mariage,mariage,NOUN
Proserpine,Proserpine,PROPN
Priam,Priam,PROPN
métamorphose,métamorphose,NOUN
Discobole,Discobole,PROPN
processions,procession,NOUN
Cadmus,Cadmus,PROPN
Palamède,Palamède,PROPN
Vesta,Vesta,PROPN
Poseidon,Poseidon,PROPN
Penthésilée,Penthésilée,PROPN
Heures,heure,NOUN
enfants,enfant,NOUN
Céphale,Céphale,PROPN
sphinx,sphinx,NOUN
aventure,aventure,NOUN
Démophon,Démophon,PROPN
pentathles,pentathle,ADJ
pédotribe,pédotribe,PROPN
quadrige,quadrige,NOUN
Acanuis,Acanuis,PROPN
Ariadne,ariadne,NOUN
Sujet,Sujet,PROPN
Tyndare,Tyndare,PROPN
Olympus,Olympus,PROPN
Polynice,Polynice,PROPN
offrandes,offrande,NOUN
expédition,expédition,NOUN
Simon,Simon,PROPN
aigle,aigle,NOUN
lutteur,lutteur,NOUN
personnages,personnage,NOUN
palais,palais,NOUN
Libyen,Libyen,PROPN
masque,masque,NOUN
blessé,blesser,VERB
morte,mourir,VERB
funérailles,funéraille,NOUN
griffons,griffon,NOUN
esclave,esclave,ADJ
masques,masque,NOUN
gorgonéion,gorgonéion,ADJ
tibicine,tibicine,NOUN
cadavre,cadavre,NOUN
représentations,représentation,NOUN
scènesdu,scènesdu,NOUN
Harpyie,Harpyie,PROPN
Ephèbe,Ephèbe,PROPN
Chryséis,Chryséis,PROPN
Cercyon,Cercyon,PROPN
Bacchüs,Bacchüs,PROPN
Amymone,Amymone,PROPN
Agraulos,Agraulos,PROPN
laboureurs,laboureur,NOUN
guerriers,guerrier,NOUN
fuite,fuite,NOUN
fontaine,fontaine,PROPN
bande,bande,NOUN
SACRITICE,sacritice,NOUN
Gorgone,Gorgone,PROPN
Victrix,Victrix,PROPN
marbre,marbr,ADJ
défilés,défilé,NOUN
devin,devin,NOUN
compagnons,compagnon,NOUN
maître,maître,NOUN
Anaïtis,Anaïtis,PROPN
vénus,vénus,ADV
vaisseau,vaisseau,NOUN
transport,transport,NOUN
thiase,thiase,NOUN
tableau,tableau,NOUN
Lacédémoniennes,Lacédémoniennes,PROPN
entretiens,entretien,NOUN
Scènes,scène,NOUN
conversation,conversation,NOUN
Intérieur,intérieur,NOUN
réunion,réunion,NOUN
réception,réception,NOUN
reconnaissance,reconnaissance,NOUN
quatre,quatre,NUM
nxythe,nxythe,NOUN
Iphigénie,Iphigénie,PROPN
laie,layer,VERB
filles,fille,NOUN
danseur,danseur,NOUN
adieux,adieu,NOUN
Nécromancie,Nécromancie,PROPN
Némée,némée,NOUN
Meurtre,Meurtre,PROPN
Peuple,peuple,NOUN
Glaucion,Glaucion,PROPN
potier,potier,NOUN
ouvriers,ouvrier,NOUN
navires,navire,NOUN
Scyllis,Scyllis,PROPN
groupes,groupe,NOUN
exposition,exposition,NOUN
cérémonies,cérémonie,NOUN
chasseur,chasseur,NOUN
Syngénicon,Syngénicon,PROPN
assemblée,assemblée,NOUN
Ouvriers,ouvrier,NOUN
Convoi,convoi,NOUN
Érastes,éraste,NOUN
Hippolyte,Hippolyte,PROPN
Aethra,Aethra,PROPN
campagne,campagne,NOUN
Eros,Eros,PROPN
attelage,attelage,NOUN
Tritonides,Tritonides,PROPN
sacrificateur,sacrificateur,ADJ
Iréné,Iréné,PROPN
Saciifice,Saciifice,PROPN
sujet,sujet,NOUN
Aratus,Aratus,PROPN
Orithyie,Orithyie,PROPN
Offrandes,Offrandes,PROPN
Arrhelaüs,Arrhelaüs,PROPN
Ménades,Ménades,PROPN
L',le,DET
offrande,offrande,NOUN
Funérailles,funéraille,NOUN
Déposition,déposition,NOUN
Dion,Dion,PROPN
Circé,Circé,PROPN
Cadmos,cadmo,NOUN
Borée,boré,ADJ
Aventures,Aventures,PROPN
Attis,Attis,PROPN
Calypso,Calypso,PROPN
Arimaspes,Arimaspes,PROPN
Amoursur,Amoursur,PROPN
Alphée,Alphée,PROPN
nan,nan,PROPN
rangée,rangée,NOUN
légendede,légendede,NOUN
Cyclope,Cyclope,PROPN
Ino,ino,PRON
s',se,PRON
éloignant,éloigner,VERB
Ischys,Ischys,PROPN
Ker,Ker,PROPN
Cléobis,Cléobis,PROPN
Aphrodites,Aphrodites,PROPN
Calomnie,calomnie,NOUN
bacchantes,bacchante,NOUN
Αntinoüs,Αntinoüs,PROPN
bas,bas,NOUN
danseuses,danseur,NOUN
Dionè,Dionè,PROPN
Agathocle,Agathocle,PROPN
traits,trait,NOUN
génisse,géniss,ADJ
Pantheuchyde,Pantheuchyde,PROPN
son,son,DET
cette,ce,DET
éducation,éducation,NOUN
ÉNÉE,ÉNÉE,PROPN
petite,petit,ADJ
mithe,mithe,VERB
charité,charité,NOUN
rateur,rateur,NOUN
TÉLÈPHE,TÉLÈPHE,PROPN
TROIS,TROIS,PROPN
TRITONS,TRITONS,PROPN
Grâces,Grâces,PROPN
THÉTIS,THÉTIS,PROPN
THÉSÉE,THÉSÉE,PROPN
Sophonisbe,Sophonisbe,PROPN
SUPPLICE,SUPPLICE,PROPN
SOPHONISBE,SOPHONISBE,PROPN
Dermys,Dermys,PROPN
Korè,Korè,PROPN
Létô,Létô,PROPN
Hécataion,hécataion,NOUN
attitude,attitude,NOUN
YÉros,yéro,NOUN
prêtresse,prêtresse,NOUN
omphalos,omphalo,NOUN
fillette,fillette,NOUN
embarquement,embarquement,NOUN
chien,chien,NOUN
cavalier,cavalier,PROPN
Thespienne,Thespienne,PROPN
Roi,roi,NOUN
Reine,reine,NOUN
Pégase,Pégase,PROPN
Lion,Lion,PROPN
Hecataion,Hecataion,PROPN
kouroi,kouroi,VERB
Gorgoneion,Gorgoneion,PROPN
Femme,Femme,PROPN
atelier,atelier,NOUN
Gigantomachie,gigantomachie,NOUN
ville,ville,NOUN
hydre,hydre,VERB
généraux,général,ADJ
Sept,Sept,PROPN
Heraclès,Heraclès,PROPN
centaure,centaure,NOUN
Dame,Dame,PROPN
kouroï,kouroï,VERB
kouros,kouros,NOUN
SCÈNE,SCÈNE,PROPN
SACRIPHICE,SACRIPHICE,PROPN
PHRYXUS,PHRYXUS,PROPN
Barbare,Barbare,PROPN
AMOUR,AMOUR,PROPN
orateur,orateur,NOUN
prêtresses,prêtresse,NOUN
signes,signe,NOUN
image,image,NOUN
sénateur,sénateur,NOUN
apprêts,apprêt,X
Sabine,Sabine,PROPN
Quiriacus,Quiriacus,PROPN
Prêtre,prêtre,NOUN
Hylas,Hylas,PROPN
Dioscure,Dioscure,PROPN
Cocher,Cocher,PROPN
Andromède,Andromède,PROPN
magistrat,magistrat,NOUN
Actéon,Actéon,PROPN
Œdipe,Œdipe,PROPN
Éphèbe,Éphèbe,PROPN
Hermès_portant_Dionysos_enfant,hermès_portant_dionysos_enfer,VERB
Papposilène,Papposilène,PROPN
Tirage,tirage,NOUN
menade,menade,PROPN
Eiréné,Eiréné,PROPN
création,création,NOUN
VüLCAIN,VüLCAIN,PROPN
Térée,térer,VERB
Procris,Procris,PROPN
Pelée,peler,ADJ
APOLLON,APOLLON,PROPN
Admetus,Admetus,PROPN
PERSÉE,PERSÉE,PROPN
MARCHANDE,MARCHANDE,PROPN
PAN,pan,NOUN
OCÉAN,OCÉAN,PROPN
Latone,Latone,PROPN
NIL,NIL,PROPN
NAINS,NAINS,PROPN
MÉLÉAGRE,MÉLÉAGRE,PROPN
MÉDÉE,MÉDÉE,PROPN
Coucher,coucher,NOUN
MORT,MORT,PROPN
MERCURE,MERCURE,PROPN
MENDIANT,MENDIANT,PROPN
MELpOMÈNE,MELpOMÈNE,PROPN
MARS,mars,NOUN
LÉDA,LÉDA,PROPN
courtisane,courtisan,ADJ
Ippolyte,Ippolyte,PROPN
HYLAS,HYLAS,PROPN
Porte,porte,NOUN
ENLÈVEMENT,ENLÈVEMENT,PROPN
DANSEURS,DANSEURS,PROPN
philosophe,philosophe,PROPN
CÉRÈS,CÉRÈS,PROPN
CHIRON,CHIRON,PROPN
CHEVAL,cheval,NOUN
CHARITÉ,CHARITÉ,PROPN
CENTAURES,centaure,NOUN
Briseis,Briseis,PROPN
BRISÉIS,BRISÉIS,PROPN
Toilette,Toilette,PROPN
Chasse,Chasse,PROPN
Poursuites,Poursuites,PROPN
Néron,Néron,PROPN
Souris,Souris,PROPN
Astypalé,Astypalé,PROPN
Sanglier,Sanglier,PROPN
Saliens,Saliens,PROPN
Athéné,Athéné,PROPN
Rhésus,Rhésus,PROPN
Atunis,Atunis,PROPN
Polyeidos,Polyeidos,PROPN
Capanée,Capanée,PROPN
Ploulos,Ploulos,PROPN
Piétémilitaire,Piétémilitaire,PROPN
Orithye,Orithye,PROPN
Oracle,Oracle,PROPN
Nereus,Nereus,PROPN
Antiloque,Antiloque,PROPN
Médée,Médée,PROPN
Louve,Louve,PROPN
Libation,Libation,PROPN
Eriphyle,Eriphyle,PROPN
Gorgias,Gorgias,PROPN
Guerriers,Guerriers,PROPN
Grues,Grues,PROPN
Géants,géant,NOUN
Galatée,Galatée,PROPN
Hilaïra,Hilaïra,PROPN
Hécube,Hécube,PROPN
Hémithéa,Hémithéa,PROPN
Dauphin,Dauphin,PROPN
Astyanax,Astyanax,PROPN
Tristesse,Tristesse,PROPN
Corne,Corne,PROPN
hoplite,hoplite,NOUN
Iris,Iris,PROPN
Ni,Ni,PROPN
T,t,NOUN
Lépide,Lépide,PROPN
Éthra,Éthra,PROPN
Amphion,Amphion,PROPN
Vestale,vestal,ADJ
Paies,Paies,PROPN
Omphale,Omphale,PROPN
archer,archer,NOUN
Héro,Héro,PROPN
Hippodamie,Hippodamie,PROPN
Herculedompté,Herculedompté,PROPN
Dévouement,dévouement,NOUN
Adraste,Adraste,X
Conversation,Conversation,PROPN
Châtiment,châtiment,NOUN
Caron,Caron,PROPN
Berger,Berger,PROPN
Absrrte,Absrrte,PROPN
Arria,Arria,PROPN
Acamas,Acamas,PROPN
Anchise,Anchise,PROPN
Adieux,adieu,NOUN
Achillas,Achillas,PROPN
Ènée,ènée,NOUN
bige,bige,NOUN
Adonis,Adonis,PROPN
Coureurs,coureur,NOUN
Junon,Junon,PROPN
Palestre,Palestre,PROPN
Agate,Agate,PROPN
Iole,Iole,PROPN
Thersite,thersite,NOUN
Tiphanati,Tiphanati,PROPN
Harpocrate,Harpocrate,PROPN
Eurydice,Eurydice,PROPN
Tithon,Tithon,PROPN
Titnandra,Titnandra,PROPN
Centauresse,Centauresse,PROPN
Tydée,Tydée,PROPN
Télèphe,Télèphe,PROPN
acteurs,acteur,NOUN
aurige,aurig,ADJ
bouc,bouc,NOUN
thème,thème,NOUN
L',le,DET
Espérance,espérance,NOUN
gigantomachie,gigantomachie,NOUN
chouette,chouette,ADJ
duels,duel,NOUN
12,12,NUM
crocodile,crocodile,NOUN
griffon,griffon,PROPN
mystagogue,mystagogue,NOUN
Gorgones,Gorgones,PROPN
panthère,panthère,NOUN
Quatre,Quatre,NUM
l',le,DET
Amazone,amazone,NOUN
Centauromachie,Centauromachie,PROPN
Amazonomachie,Amazonomachie,PROPN
Jeux,jeu,NOUN
Telrphé,Telrphé,PROPN
Maia,Maia,PROPN
Phœnicé,Phœnicé,PROPN
Cigale,Cigale,PROPN
Chasseur,chasseur,NOUN
Minotaure,Minotaure,PROPN
Muses,muse,NOUN
Naïades,Naïades,PROPN
Bélier,Bélier,PROPN
Nestor,Nestor,X
Alexandrie,Alexandrie,PROPN
Pasiphaé,Pasiphaé,PROPN
Vengeance,vengeance,NOUN
Perséa,Perséa,PROPN
Phaëthon,Phaëthon,PROPN
Phœbé,Phœbé,PROPN
Alhéna,Alhéna,PROPN
Pénélope,Pénélope,PROPN
Phœnix,Phœnix,PROPN
Éducation,éducation,NOUN
Pisidice,Pisidice,PROPN
Vieillard,Vieillard,PROPN
Télesphore,Télesphore,PROPN
Syrinx,Syrinx,PROPN
Pisistrate,Pisistrate,PROPN
Salyre,Salyre,PROPN
Polycaste,Polycaste,PROPN
Repos,repos,NOUN
Pygmée,Pygmée,PROPN
Pygmées,Pygmées,PROPN
Pélée,pélée,NOUN
Agrippa,Agrippa,PROPN
Agrippine,Agrippine,PROPN
Didius,Didius,PROPN
Yl',Yl',PROPN
Irjsse,Irjsse,PROPN
Antirjone,Antirjone,PROPN
Antigène,antigène,NOUN
Alexan,Alexan,PROPN
Sirènes,Sirènes,PROPN
A',A',PROPN
Icxandre,Icxandre,PROPN
rideau,rideau,NOUN
llcraklides,llcraklides,PROPN
imVaiuqueiœ,imvaiuqueiœ,NOUN
grappede,grappede,NOUN
chœurd',chœurd',PROPN
Ariane,Ariane,PROPN
balailie,balaili,ADJ
allégorie,allégorie,NOUN
Zens,Zens,PROPN
Yieillard,yieillard,NOUN
Baccims,Baccims,PROPN
Sacd',Sacd',PROPN
une,un,DET
Sac,Sac,PROPN
Prèlre,Prèlre,PROPN
Prise,prise,NOUN
Polyphcme,Polyphcme,PROPN
Piise,Piise,PROPN
Nourrice,Nourrice,PROPN
Noces,noce,NOUN
Niobé,Niobé,PROPN
Leostficneset,Leostficneset,PROPN
Destruction,destruction,NOUN
Descente,Descente,PROPN
Lapithine,Lapithine,PROPN
Arkhélaos,Arkhélaos,PROPN
Apollons,Apollons,PROPN
Epaminondas,Epaminondas,PROPN
Armement,armement,NOUN
Lavage,lavage,NOUN
Javelot,Javelot,PROPN
Gynécée,Gynécée,PROPN
Foulage,Foulage,PROPN
Femmes,femme,NOUN
boutique,boutique,NOUN
Enlèvements,enlèvement,NOUN
Départs,Départs,PROPN
guerre,guerre,NOUN
joueuse,joueur,ADJ
Éthiopien,éthiopien,ADJ
Banquets,banquet,NOUN
Banquet,Banquet,PROPN
meurtre,meurtre,NOUN
vainqueur,vainqueur,NOUN
nourrice,nourrice,NOUN
hétaïres,hétaïre,ADJ
acteur,acteur,NOUN
Yictùire,Yictùire,PROPN
Vro,Vro,PROPN
VHcraklès,vhcraklè,ADJ
V,v,NOUN
UippoUjte,UippoUjte,PROPN
Tisseuses,tisseur,NOUN
Siège,siège,NOUN
Pé,Pé,PROPN
pompe,pompe,NOUN
Klitus,Klitus,PROPN
Chasseurs,Chasseurs,PROPN
